●桃太郎電鉄検定（１２、USA）

社長！この検定は、桃太郎電鉄の検定となっておりますぞ！今回はプレイステーション２で発売された、１２、ＵＳＡから出題します！え？なぜこの二つの作品なのかって？私がこの２作品しか持っていないからです！せ、正解数が６問以上なら、社長として上出来でしょう！是非、全問正解を目指してくださいね！


[第1問] 桃太郎電鉄１２には西日本編があります。全国編に対してイベントも若干異なるのですが、この中で全国編、西日本編どちらか片方しか発生しないイベントはどれでしょう？

(1) 台風

(2) ドジラース

(3) スリの銀次

(4) ハリケーンボンビーに変身


[第2問] 西日本編で登場する「大阪のおばちゃん」このキャラクターは余計なおせっかいばかりけしかけてくるのですが、この中で大阪のおばちゃんが＜やらない＞おせっかいはどれでしょう？

(1) カードを売らせてくれない

(2) プラスマスでお金がもらえない

(3) 物件を買わせてくれない

(4) サイコロを振らせてくれない


[第3問] 全国編のしりとり移動カード。これは今止まっている駅からその駅の最後の文字から始まる駅に飛ぶことが出来る、使い方によっては便利なカードです。ではこの中で、しりとり移動カードを＜使えない＞駅はどこでしょう？

(1) 修善寺

(2) 後楽園

(3) 伊賀上野

(4) この中ではどの駅でも使える


[第4問] 全国編で登場するハリケーンボンビー。彼の登場時のセリフで、正しいのはどれ？

(1) ドードド　ドドード！　ドドード！　ドドー！

(2) ドッドド　ドドード！　ドドード！　ドドー！

(3) ドドード　ドドード！　ドドード！　ドドー！

(4) ドッドド　ドドード！　ドードド！　ドード！


[第5問] １０年以上プレイしたあとに見ることができる激動の桃鉄史に、＜記載される＞のはどれ？

(1) ドジラースによって壊滅させられた都市の物件を持っていた社長

(2) 鉄道を初めて購入した社長

(3) おいどんを初めて呼び出した社長

(4) 最後に目的地に到着した社長


[第6問] 桃太郎電鉄ＵＳＡでは、なんとロボット研究所が登場しません！…まぁこれ以降のシリーズにも登場しなくなるんですが…ところでどうして、アメリカにはロボット研究所がないのでしょうか？

(1) アメリカ人は兵器に頼らないため

(2) アメリカ人は研究所を知らないため

(3) アメリカ人はキングボンビーの恐ろしさを知らないため

(4) アメリカ人はメカボンビーの作り方を知らないため


[第7問] １６年目以降、フロリダの宇宙センターから月へ旅立つことができます。月にはティコベースと、月面基地のふたつの物件駅がありますが、その物件駅以外で「西へ！カード」を使った場合どうなるでしょうか？

(1) ティコベースか月面基地に飛べる

(2) 西へ！カードは使用できない

(3) 普通のぶっとびカードと同じ扱いになる

(4) 宇宙センターより西側の駅に飛ぶ


[第8問] ＵＳＡで初登場の「武器よさらばカード」妨害系カードを１枚も持っていないプレイヤーが受けると、秘書から何と言われる？

(1) 真面目だ！

(2) いい人だ！

(3) 素晴らしい！

(4) 武器はいらない！


[第9問] ＵＳＡでドジラースに当たるイベント、「宇宙人襲来」対象の駅と周りの駅が被害を受けるイベントですが、エアフォースカードで防ぐことができます。では、襲われる駅に＜含まれない＞駅はどれでしょう？

(1) ソルトレークシティ

(2) ワシントン

(3) バンクーバー

(4) アトランタ


[第10問] ３２年以降に目的地に選ばれる１９世紀。１９世紀のニューヨークからサンフランシスコまで、馬車で進むというイベントです。物件は１９世紀終了後、現代で成長するのですが、この中で「プロ野球チーム」に成長する物件を売っている駅はどれでしょう？

(1) シンシナティ

(2) クリーブランド

(3) ピッツバーグ

(4) シカゴ

